FunctionName,Invocaciones
shop-prod-getShopByHostV4,4220984.0
shop-prod-getMenuAyuda,4220004.0
common-prod-courier-authentication,3307962.0
shop-prod-getPaginaComponentesV2,3163257.0
shop-prod-calculateFechaEstimadaEntregaV2,2946304.0
pos-prod-calculateTiemposEntregaCocina,2946212.0
common-prod-courier-get-stimated-byRocket,2382748.0
prod-socket-services-v1-prod-changeStatusDelivery_v1,1843469.0
common-prod-setCartByActions,1361701.0
common-prod-setCartUserAction,1289473.0
shop-prod-getallproductV3,1014376.0
common-prod-getCourierOrder,931444.0
shop-prod-getGroupProductV2,879499.0
common-prod-deliveryByFee,826411.0
common-prod-webhook-courier,630837.0
shop-prod-getSucursalHorariosV3,429341.0
prod-socket-services-v1-prod-getCurrentDynamoOrders_v1,394599.0
common-prod-get-cart,382689.0
shop-prod-getallCuponV2,337730.0
auth-prod-loginWithToken,241257.0
common-prod-trackEmailOpen,241253.0
shop-prod-getAddress-v2,171558.0
admin-prod-getSucursalDesafiosLogros,137165.0
prod-socket-services-v1-prod-socketAuthPusher_v1,129603.0
auth-prod-get-allCoupon-usuario,105953.0
pos-prod-playScheduleSucursal,97909.0
common-prod-getLastOrderToEvaluate,86647.0
prod-socket-services-v1-prod-getStatusStore_v1,84467.0
prod-socket-services-v1-prod-getAllOrderPaginated_v1,58150.0
shop-prod-validateSucursalCupon,55049.0
pos-prod-getOrder,53289.0
rider-prod-updateLocation,49977.0
prod-socket-services-v1-prod-getPayMethod_v1,41867.0
prod-socket-services-v1-prod-getInitByApp_v1,35274.0
shop-prod-getTempPedidoCupones,33820.0
auth-prod-loginFromProvider,32349.0
shop-prod-createAddress-v2,31333.0
shop-prod-receivePaymentNavigation,29067.0
shop-prod-matchAddress-v2,25552.0
common-prod-setOrderTimes,23384.0
shop-prod-finallyPayRegister,23213.0
shop-prod-initTransaction,23127.0
auth-prod-login,20404.0
common-prod-whatsappWebhook,19003.0
prod-socket-services-v1-prod-changeStatusOrder_v1,17028.0
admin-prod-getAllProductoSucursal,16004.0
shop-prod-evaluateLatePayments,14450.0
common-prod-emailWebhook,14430.0
prod-socket-services-v1-prod-newOrder_v1,12464.0
shop-prod-validatePayment,11843.0
super-prod-validateShopPayment,11843.0
auth-prod-registerFromProvider,10438.0
market-prod-getMarketByHost,10351.0
agil-prod-notifyOrder,9567.0
aliados-13489AA-prod-getByAction,9007.0
prod-socket-services-v1-prod-pusherWebhookEvents_v1,8631.0
shop-prod-getOrdersByIdentifier,7858.0
common-prod-courier-createAndConfirmCourier,7707.0
shop-prod-getPagoStatus,6965.0
shop-prod-createUsuarioInvitado,6848.0
auth-prod-UpdateUserPhone,5432.0
common-prod-setRatingOrder,4867.0
prod-socket-services-v1-prod-getBillingData_v1,4590.0
common-prod-getPOSMotivosCalificacion,4297.0
pos-prod-get-dashboard-data,3978.0
shop-prod-getGastosDeEnvio,3902.0
pos-prod-getOrderMapsTracking,3730.0
shop-prod-get-order-data,3636.0
pos-prod-updateProductoSucursalIdEstado,3571.0
auth-prod-register,3318.0
admin-prod-updateProductoSucursalPrecio,3280.0
aliados-13489AA-prod-get-categories,3151.0
pos-prod-getPedidoSeguimientos,3130.0
pos-prod-getPedidoSeguimientoByIdPublico,3111.0
super-prod-getPedidoMedioPago,2944.0
pos-prod-getSettingsSucursal,2935.0
auth-prod-validateAuthToken,2858.0
common-prod-email-recipient-unsubscribe-confirm,2831.0
common-prod-send-evaluate-order,2811.0
pos-prod-getSchedule,2723.0
auth-prod-post-Coupon-usuarios,2652.0
common-prod-email-recipient-unsubscribe,2546.0
admin-prod-updateProductoSucursalEstado,2360.0
pos-prod-getAllProductos,2360.0
common-prod-getScheduless,2192.0
auth-prod-registerConfirmation,1956.0
pos-prod-updateScheduleState,1952.0
aliados-13489AA-prod-get-all-coupon,1946.0
prod-socket-services-v1-prod-solicitudCustomerService_v1,1883.0
super-prod-postPedidoMedioPago,1845.0
shop-prod-receiveMPNotification,1756.0
common-prod-getAvailableMediosDePago,1546.0
prod-socket-services-v1-prod-setStatusStore_v1,1485.0
pos-prod-getOrders,1463.0
pos-prod-changeStateModificadorOpcion,1439.0
admin-prod-getAllusuarioAudienciaRegla,1420.0
prod-socket-services-v1-prod-refreshAllOrderbyCDN_v1,1342.0
aliados-13489AA-prod-get-all-sucursal-horarios,1298.0
aliados-13489AA-prod-getALlProductGroup,1294.0
pos-prod-toteatUpdateMenu,1219.0
auth-prod-forgotPassword,1150.0
common-prod-getSucursalCuponTiposValor,1086.0
pos-prod-getAllSucursalNotificaciones,1066.0
pos-prod-getRiderWaitingSucursal,1055.0
auth-prod-forgotPasswordConfirmation,1014.0
admin-prod-updateShopConfiguracionGlobal,924.0
prod-socket-services-v1-prod-generateTransfer_v1,909.0
common-prod-getAllReembolsoMotivo,890.0
admin-prod-getAllMails,874.0
prod-socket-services-v1-prod-webhookAcceptOrder_v1,862.0
admin-prod-getComercioCategoriaConfiguracion,862.0
prod-socket-services-v1-prod-setAjusteFinanciero_v1,841.0
admin-prod-updateProductoOrden,766.0
admin-prod-getReembolsos,746.0
admin-prod-getAllAudiencias,742.0
prod-socket-services-v1-prod-actionCustomerService_v1,720.0
pos-prod-checkNewsScheduledOrdersForToday,703.0
admin-prod-getAllUsuarios,693.0
common-prod-courier-solicitar-cancelar,662.0
shop-prod-createSolicitudMenuAyuda,661.0
admin-prod-getAllComercioDisenos,634.0
super-prod-getReembolsos,623.0
admin-prod-getAllCampania,608.0
super-prod-getReembolso,600.0
admin-prod-getTipoConfiguracion,595.0
pos-prod-toteatUpdateSchedule,585.0
prod-socket-services-v1-prod-getBitacoraEvidenciaPedido_v1,569.0
common-prod-getAllTipoCorreo,563.0
agil-prod-create-order,562.0
shop-prod-refundPayment,542.0
shop-prod-finallyRefundPayment,538.0
shop-prod-receiveMachNotification,517.0
aliados-13489AA-prod-set-sucursal-horarios,498.0
aliados-13489AA-prod-get-all-plantilla,494.0
admin-prod-getAllShopProduct,493.0
aliados-13489AA-prod-salebot-update-stage,471.0
aliados-13489AA-prod-getAllGroup,444.0
admin-prod-getSucursalCuponURLToShareV2,441.0
admin-prod-updateProductoDeletedAt,402.0
aliados-13489AA-prod-salebot-get-all,388.0
admin-prod-getAllDisenoCorreoPorTipo,383.0
agil-prod-orderWebhook,376.0
common-prod-courierTracking,367.0
super-prod-getListadoUsuarios,358.0
agil-prod-acceptOrderOMS,347.0
common-prod-getPrefijosTelefonicos,347.0
aliados-13489AA-prod-get-coupon,345.0
admin-prod-createPlantillaCorreo,340.0
aliados-13489AA-prod-get-all-comercio-customers,330.0
admin-prod-deleteModificador,318.0
admin-prod-uploadImageComercioDiseno,318.0
aliados-13489AA-prod-creat-coupon,318.0
admin-prod-createAudienciaRegla,297.0
prod-socket-services-v1-prod-updateDeliveryTime_v1,295.0
admin-prod-createCampania,261.0
admin-prod-getAllSucursalComercio,248.0
super-prod-generarAjusteFinancieroReembolso,247.0
common-prod-refresh-all-pos,244.0
aliados-13489AA-prod-setStateCoupon,241.0
aliados-13489AA-prod-getDetailGroup,211.0
admin-prod-getAllShopMenu,210.0
admin-prod-getAllMailAutomatico,209.0
aliados-13489AA-prod-get-bases-importadas-comercio,208.0
admin-prod-getAllCategoriaConfiguracionShop,206.0
common-prod-getAllAudienciaReglas-v2,205.0
shop-app-prod-checkVersion,204.0
aliados-13489AA-prod-salebot-get-rule-by-type,204.0
admin-prod-getAllLinkShop,202.0
aliados-13489AA-prod-getProductsInsights,197.0
rider-prod-getCalificationTypes,195.0
shop-prod-heyAgil,195.0
admin-prod-createAudiencia,186.0
rider-prod-getWinChallenges,178.0
rider-prod-getCurrentChallenges,178.0
rider-prod-getChallenges,178.0
aliados-13489AA-prod-salebot-get,167.0
rider-prod-getRiderIncomeCurrentWeek,166.0
rider-prod-checkversion,162.0
prod-socket-services-v1-prod-forcedDeliveredOrder_v1,156.0
common-prod-trackEmailClick,154.0
auth-prod-logout,145.0
admin-prod-getOneUsuario,135.0
aliados-13489AA-prod-createGroup,134.0
agil-prod-getIntegracionByComerce,129.0
shop-prod-validate-address,112.0
aliados-13489AA-prod-salebot-create,111.0
pos-prod-getUsersWithPurchases,111.0
aliados-13489AA-prod-update-coupon,109.0
super-prod-GeozonasShop,109.0
aliados-13489AA-prod-salebot-update-estado,98.0
admin-prod-createUsuario,88.0
pos-prod-get-AllOrder-BySucursalV2,86.0
aliados-13489AA-prod-salebot-get-all-mail-design,85.0
aliados-13489AA-prod-salebot-get-stage-type,84.0
aliados-13489AA-prod-get-tipo-ejecuciones,84.0
admin-prod-v1DownloadProducts,81.0
pos-prod-getProductLog,78.0
admin-prod-getAllComercioConfiguracion,78.0
admin-prod-updateComercioConfiguracion,71.0
super-prod-getTarifas,65.0
shop-prod-getAllSucursalShopOptions,62.0
prod-socket-services-v1-prod-splitOrder_v1,60.0
common-prod-update-Cart-Status,58.0
